[8, 1, 9, 14, 4, 12, 15, 13, 0, 10, 11, 3, 5, 6, 2, 7];1.8143e-06;good
[1, 14, 15, 11, 5, 13, 12, 10, 6, 3, 2, 0, 8, 9, 7, 4];1.81565e-06;good
[3, 15, 1, 13, 0, 11, 7, 5, 4, 12, 9, 6, 14, 2, 8, 10];1.870325e-06;good
[3, 10, 7, 5, 0, 12, 6, 2, 8, 4, 11, 1, 13, 14, 9, 15];1.827525e-06;good
[6, 1, 12, 2, 10, 13, 9, 15, 11, 5, 8, 4, 0, 3, 14, 7];1.852125e-06;good
[3, 4, 6, 10, 12, 5, 9, 15, 11, 8, 0, 14, 1, 13, 2, 7];1.85425e-06;good
[4, 12, 3, 11, 5, 7, 13, 0, 15, 6, 9, 1, 10, 8, 2, 14];1.764175e-06;good
[9, 6, 14, 3, 10, 11, 4, 8, 5, 1, 12, 7, 13, 2, 15, 0];1.84805e-06;good
[3, 10, 12, 4, 14, 15, 0, 2, 6, 9, 7, 13, 5, 8, 11, 1];1.796825e-06;good
[5, 7, 8, 14, 3, 4, 1, 6, 11, 12, 10, 15, 9, 13, 0, 2];1.72885e-06;good
[15, 5, 0, 10, 11, 14, 9, 3, 7, 1, 6, 4, 2, 13, 12, 8];1.824825e-06;good
[7, 2, 3, 1, 15, 11, 6, 0, 9, 10, 8, 14, 5, 12, 4, 13];1.889175e-06;good
[3, 6, 11, 10, 9, 5, 4, 8, 0, 7, 12, 1, 14, 2, 15, 13];1.81945e-06;good
[3, 2, 7, 10, 4, 11, 1, 0, 14, 6, 9, 13, 12, 8, 5, 15];1.7621e-06;good
[12, 8, 10, 15, 11, 1, 14, 13, 9, 4, 3, 7, 5, 0, 2, 6];1.7905e-06;good
[4, 13, 3, 2, 8, 10, 15, 6, 9, 7, 0, 1, 12, 5, 14, 11];1.869525e-06;good
[11, 6, 12, 10, 4, 8, 7, 9, 14, 2, 1, 5, 13, 15, 3, 0];1.8441e-06;good
[3, 6, 0, 8, 2, 15, 12, 10, 9, 1, 11, 7, 14, 4, 5, 13];1.8217e-06;good
[4, 8, 6, 15, 7, 9, 10, 14, 3, 12, 0, 11, 2, 5, 1, 13];1.840325e-06;good
[8, 4, 14, 13, 7, 3, 10, 12, 5, 11, 6, 1, 2, 15, 0, 9];1.88775e-06;good
[10, 15, 0, 11, 9, 3, 6, 12, 8, 2, 7, 14, 1, 13, 4, 5];1.752375e-06;good
[8, 9, 13, 1, 14, 5, 6, 15, 4, 11, 3, 7, 0, 10, 12, 2];1.773325e-06;good
[0, 6, 15, 5, 8, 2, 13, 1, 7, 11, 4, 14, 9, 12, 3, 10];1.83965e-06;good
[3, 13, 12, 15, 11, 5, 8, 14, 7, 6, 4, 10, 9, 1, 2, 0];1.788325e-06;good
[9, 5, 15, 7, 8, 12, 14, 11, 1, 4, 6, 10, 3, 0, 2, 13];1.83435e-06;good
[2, 8, 1, 15, 13, 9, 12, 10, 11, 14, 5, 6, 0, 3, 7, 4];1.81335e-06;good
[14, 13, 8, 0, 12, 3, 4, 15, 1, 6, 11, 9, 10, 2, 7, 5];1.871525e-06;good
[7, 8, 4, 10, 11, 14, 3, 5, 6, 0, 1, 15, 13, 2, 9, 12];1.8145e-06;good
[7, 11, 12, 2, 0, 10, 6, 14, 1, 8, 15, 3, 4, 5, 13, 9];1.79625e-06;good
[0, 4, 15, 2, 11, 6, 13, 8, 1, 7, 3, 12, 10, 14, 9, 5];1.79445e-06;good
[12, 2, 10, 4, 0, 7, 3, 8, 14, 6, 1, 5, 9, 11, 15, 13];1.737475e-06;good
[0, 11, 12, 10, 6, 13, 2, 9, 14, 1, 3, 8, 7, 5, 15, 4];1.7998e-06;good
[2, 5, 14, 1, 10, 6, 7, 4, 11, 15, 8, 13, 12, 3, 0, 9];1.74625e-06;good
[14, 13, 2, 12, 1, 10, 4, 7, 9, 5, 11, 0, 3, 8, 15, 6];1.869e-06;good
[8, 12, 0, 4, 10, 1, 11, 15, 7, 5, 6, 14, 9, 3, 13, 2];1.7885e-06;good
[9, 13, 12, 6, 11, 5, 7, 3, 15, 14, 10, 1, 0, 2, 8, 4];1.813225e-06;good
[0, 7, 5, 6, 13, 14, 12, 10, 8, 3, 2, 4, 1, 15, 11, 9];1.8156e-06;good
[3, 13, 10, 4, 2, 0, 6, 7, 11, 9, 12, 8, 15, 5, 1, 14];1.79045e-06;good
[14, 10, 15, 4, 9, 5, 12, 8, 2, 13, 1, 11, 6, 7, 0, 3];1.811275e-06;good
[10, 5, 14, 8, 6, 0, 11, 1, 13, 9, 15, 7, 4, 12, 2, 3];1.8006e-06;good
[12, 3, 8, 13, 2, 9, 10, 6, 15, 4, 7, 0, 5, 1, 11, 14];1.7808e-06;good
[4, 8, 5, 7, 1, 10, 9, 11, 3, 13, 6, 15, 2, 14, 0, 12];1.820525e-06;good
[0, 4, 8, 7, 5, 11, 9, 15, 10, 3, 1, 14, 13, 6, 12, 2];1.845125e-06;good
[5, 6, 0, 9, 3, 2, 12, 13, 15, 8, 4, 10, 14, 7, 11, 1];1.761e-06;good
[10, 13, 8, 9, 11, 0, 7, 15, 2, 5, 12, 3, 6, 14, 4, 1];1.766675e-06;good
[14, 6, 10, 12, 2, 9, 11, 5, 0, 4, 15, 3, 8, 13, 7, 1];1.806975e-06;good
[2, 3, 13, 1, 11, 15, 4, 12, 9, 7, 14, 0, 6, 8, 5, 10];1.783375e-06;good
[4, 14, 0, 13, 5, 1, 8, 15, 6, 12, 7, 2, 3, 10, 9, 11];1.890275e-06;good
[1, 0, 6, 9, 14, 8, 11, 3, 7, 4, 12, 15, 5, 13, 2, 10];1.83475e-06;good
[13, 7, 14, 9, 12, 6, 5, 3, 4, 2, 15, 0, 10, 8, 1, 11];1.793075e-06;good
[7, 8, 14, 6, 15, 11, 2, 12, 9, 4, 10, 0, 5, 13, 1, 3];1.91685e-06;good
[4, 5, 1, 10, 15, 0, 13, 14, 9, 2, 11, 3, 8, 6, 12, 7];1.839e-06;good
[8, 10, 6, 9, 11, 4, 13, 12, 1, 15, 5, 7, 3, 14, 0, 2];1.7466e-06;good
[5, 7, 13, 15, 0, 3, 12, 14, 1, 10, 2, 11, 4, 8, 6, 9];1.8103e-06;good
[4, 11, 0, 13, 5, 7, 15, 9, 14, 8, 12, 3, 6, 2, 1, 10];1.798325e-06;good
[6, 0, 9, 5, 10, 11, 7, 14, 1, 3, 8, 13, 4, 15, 2, 12];1.84715e-06;good
[9, 8, 4, 3, 13, 11, 5, 6, 10, 15, 0, 1, 14, 2, 7, 12];1.807425e-06;good
[5, 13, 8, 3, 4, 1, 12, 2, 7, 10, 9, 15, 14, 6, 11, 0];1.8277e-06;good
[2, 10, 4, 3, 8, 15, 6, 14, 12, 5, 13, 11, 1, 7, 0, 9];1.304795e-05;bad
[8, 10, 12, 6, 15, 11, 7, 1, 14, 2, 4, 13, 3, 5, 0, 9];1.304795e-05;bad
[0, 15, 7, 2, 4, 8, 9, 6, 11, 10, 5, 12, 14, 3, 1, 13];1.304795e-05;bad
[10, 7, 12, 4, 9, 1, 11, 6, 15, 13, 8, 3, 2, 0, 5, 14];1.809375e-06;good
[11, 15, 8, 14, 7, 13, 2, 12, 1, 9, 5, 3, 6, 10, 0, 4];1.304795e-05;bad
[15, 10, 2, 11, 0, 14, 1, 9, 8, 6, 13, 4, 5, 12, 7, 3];1.304795e-05;bad
[12, 6, 3, 9, 7, 11, 1, 13, 14, 4, 10, 5, 8, 15, 2, 0];1.304795e-05;bad
[1, 5, 9, 12, 6, 3, 2, 8, 13, 0, 4, 14, 15, 11, 7, 10];1.8682e-06;good
[12, 1, 2, 10, 11, 6, 0, 7, 8, 5, 3, 14, 9, 13, 4, 15];1.304795e-05;bad
[10, 4, 6, 12, 9, 2, 14, 5, 7, 1, 11, 15, 3, 8, 0, 13];1.304795e-05;bad
[2, 9, 6, 10, 11, 14, 5, 4, 13, 7, 12, 3, 8, 15, 0, 1];1.304795e-05;bad
[0, 5, 13, 7, 3, 11, 10, 12, 9, 2, 15, 4, 1, 8, 14, 6];1.7418e-06;good
[3, 0, 4, 13, 12, 10, 9, 5, 7, 15, 2, 6, 14, 1, 11, 8];1.304795e-05;bad
[15, 9, 10, 6, 0, 14, 8, 1, 4, 3, 2, 11, 7, 5, 13, 12];1.304795e-05;bad
[15, 7, 12, 13, 1, 6, 14, 4, 10, 11, 0, 9, 2, 3, 5, 8];1.304795e-05;bad
[1, 4, 7, 15, 13, 6, 11, 10, 5, 3, 9, 12, 14, 0, 2, 8];1.9103e-06;good
[3, 1, 8, 11, 2, 4, 12, 10, 6, 15, 14, 13, 5, 0, 7, 9];1.304795e-05;bad
[6, 3, 10, 11, 1, 13, 0, 9, 4, 14, 8, 2, 5, 15, 7, 12];1.304795e-05;bad
[15, 9, 10, 14, 6, 2, 8, 13, 5, 4, 1, 3, 7, 11, 12, 0];1.78705e-06;good
[14, 3, 5, 2, 8, 10, 15, 11, 7, 6, 0, 12, 4, 13, 9, 1];1.304795e-05;bad
[11, 8, 2, 4, 10, 7, 3, 14, 13, 12, 6, 0, 1, 5, 9, 15];1.304795e-05;bad
[8, 14, 15, 0, 1, 3, 13, 5, 4, 6, 2, 12, 7, 9, 10, 11];1.304795e-05;bad
[1, 11, 8, 15, 9, 13, 4, 3, 10, 7, 12, 14, 6, 0, 2, 5];1.852675e-06;good
[11, 6, 9, 10, 12, 8, 4, 15, 2, 7, 5, 1, 13, 3, 14, 0];1.304795e-05;bad
[13, 14, 15, 6, 9, 8, 12, 11, 1, 3, 4, 2, 0, 10, 5, 7];1.304795e-05;bad
[9, 3, 5, 6, 4, 14, 1, 8, 13, 7, 2, 10, 12, 0, 11, 15];1.304795e-05;bad
[7, 5, 3, 9, 14, 10, 13, 2, 15, 4, 1, 6, 0, 11, 8, 12];1.7932e-06;good
[10, 0, 1, 3, 2, 13, 14, 5, 11, 15, 4, 6, 7, 9, 12, 8];1.304795e-05;bad
[11, 13, 5, 10, 12, 7, 14, 3, 1, 9, 8, 2, 4, 15, 6, 0];1.304795e-05;bad
[9, 6, 1, 5, 13, 12, 3, 2, 11, 0, 4, 8, 7, 10, 14, 15];1.304795e-05;bad
[2, 9, 15, 4, 5, 10, 11, 7, 3, 6, 13, 1, 14, 0, 12, 8];1.87435e-06;good
[9, 13, 4, 1, 7, 3, 12, 6, 8, 10, 5, 2, 11, 15, 14, 0];1.304795e-05;bad
[14, 13, 11, 3, 2, 12, 10, 1, 8, 4, 0, 15, 7, 5, 6, 9];1.304795e-05;bad
[14, 5, 12, 4, 11, 8, 7, 0, 3, 13, 1, 10, 2, 15, 6, 9];1.304795e-05;bad
[2, 4, 8, 1, 6, 11, 12, 13, 14, 15, 10, 0, 9, 3, 7, 5];1.730225e-06;good
[0, 4, 13, 15, 3, 8, 9, 14, 10, 6, 2, 7, 11, 12, 1, 5];1.304795e-05;bad
[14, 12, 0, 13, 4, 1, 11, 15, 9, 5, 7, 10, 8, 2, 3, 6];1.304795e-05;bad
[13, 1, 2, 12, 14, 10, 11, 5, 6, 8, 4, 3, 0, 15, 7, 9];1.304795e-05;bad
[11, 8, 9, 5, 14, 0, 3, 13, 6, 2, 12, 10, 7, 15, 4, 1];1.304795e-05;bad
[6, 10, 7, 0, 13, 4, 1, 2, 12, 14, 11, 9, 8, 3, 15, 5];1.77315e-06;good
[6, 11, 12, 15, 0, 2, 5, 8, 4, 1, 9, 10, 13, 14, 3, 7];1.304795e-05;bad
[1, 14, 8, 10, 11, 6, 13, 0, 2, 12, 3, 7, 9, 4, 15, 5];1.304795e-05;bad
[3, 5, 8, 14, 7, 9, 4, 12, 11, 2, 15, 1, 6, 13, 0, 10];1.304795e-05;bad
[13, 10, 3, 15, 14, 11, 8, 2, 4, 6, 12, 5, 1, 7, 0, 9];1.81765e-06;good
[1, 15, 8, 11, 13, 3, 14, 0, 2, 5, 6, 9, 7, 10, 12, 4];1.304795e-05;bad
[14, 11, 2, 10, 15, 1, 13, 4, 3, 12, 9, 8, 5, 0, 6, 7];1.304795e-05;bad
[8, 3, 10, 12, 7, 2, 14, 5, 6, 0, 9, 15, 1, 13, 4, 11];1.304795e-05;bad
[2, 5, 12, 7, 6, 1, 10, 14, 13, 15, 0, 8, 11, 3, 4, 9];1.802775e-06;good
[0, 4, 6, 9, 15, 8, 2, 3, 10, 11, 13, 12, 7, 5, 1, 14];1.304795e-05;bad
[7, 6, 13, 8, 9, 0, 14, 4, 12, 2, 3, 15, 10, 1, 11, 5];1.304795e-05;bad
[0, 11, 9, 4, 13, 3, 2, 1, 14, 15, 5, 6, 7, 12, 8, 10];1.304795e-05;bad
[2, 13, 5, 14, 15, 10, 7, 12, 1, 0, 6, 8, 11, 4, 9, 3];1.79455e-06;good
[14, 3, 0, 12, 11, 8, 10, 7, 6, 9, 13, 4, 5, 1, 15, 2];1.304795e-05;bad
[0, 1, 10, 6, 8, 13, 11, 4, 3, 9, 14, 7, 15, 12, 2, 5];1.304795e-05;bad
[4, 9, 15, 7, 5, 0, 14, 11, 8, 2, 1, 13, 10, 3, 6, 12];1.304795e-05;bad
[9, 8, 0, 5, 1, 14, 10, 13, 4, 3, 7, 15, 6, 2, 12, 11];1.83545e-06;good
[2, 6, 3, 8, 1, 13, 0, 14, 10, 15, 11, 9, 7, 5, 12, 4];1.304795e-05;bad
[8, 15, 11, 6, 3, 7, 1, 4, 12, 0, 5, 2, 14, 9, 13, 10];1.304795e-05;bad
[6, 7, 4, 0, 10, 2, 11, 1, 5, 8, 14, 15, 9, 13, 3, 12];1.304795e-05;bad
[5, 10, 6, 8, 11, 0, 13, 4, 3, 7, 9, 2, 15, 14, 12, 1];1.7997e-06;good
[1, 4, 9, 7, 11, 12, 15, 8, 3, 14, 6, 10, 0, 13, 5, 2];1.304795e-05;bad
[6, 9, 11, 2, 10, 5, 15, 4, 13, 1, 14, 7, 0, 3, 12, 8];1.304795e-05;bad
[6, 8, 9, 4, 5, 11, 15, 14, 3, 12, 2, 0, 1, 13, 10, 7];1.304795e-05;bad
[1, 6, 0, 5, 10, 3, 4, 9, 13, 15, 14, 2, 8, 11, 12, 7];1.784425e-06;good
[8, 4, 1, 10, 6, 7, 15, 9, 12, 14, 13, 2, 11, 5, 3, 0];1.304795e-05;bad
[0, 3, 15, 11, 9, 4, 14, 5, 10, 8, 12, 1, 6, 13, 2, 7];1.304795e-05;bad
[12, 8, 4, 5, 10, 7, 9, 1, 13, 0, 3, 6, 15, 2, 14, 11];1.304795e-05;bad
[6, 8, 7, 3, 0, 1, 15, 5, 9, 2, 14, 12, 4, 10, 13, 11];1.8568e-06;good
[2, 5, 14, 7, 8, 1, 10, 13, 0, 15, 3, 9, 6, 11, 4, 12];1.304795e-05;bad
[14, 3, 9, 12, 2, 1, 8, 6, 4, 13, 7, 15, 0, 11, 5, 10];1.304795e-05;bad
[0, 15, 14, 12, 10, 5, 1, 3, 6, 2, 11, 8, 4, 9, 7, 13];1.304795e-05;bad
[2, 15, 13, 0, 8, 14, 4, 12, 3, 10, 5, 6, 7, 9, 1, 11];1.78445e-06;good
[11, 0, 3, 9, 6, 14, 5, 8, 10, 15, 13, 7, 12, 2, 1, 4];1.304795e-05;bad
[3, 0, 4, 6, 2, 8, 1, 15, 12, 5, 9, 14, 13, 11, 10, 7];1.304795e-05;bad
[4, 15, 7, 0, 11, 13, 9, 3, 2, 14, 8, 6, 1, 5, 12, 10];1.74555e-06;good
[1, 8, 11, 0, 6, 10, 4, 2, 12, 5, 15, 9, 14, 7, 3, 13];1.304795e-05;bad
[11, 13, 9, 14, 5, 10, 15, 0, 8, 4, 2, 7, 3, 1, 12, 6];1.304795e-05;bad
[8, 10, 6, 9, 15, 13, 7, 12, 11, 14, 2, 3, 5, 0, 1, 4];1.304795e-05;bad
[12, 9, 14, 1, 0, 13, 10, 2, 11, 7, 5, 6, 4, 3, 8, 15];1.304795e-05;bad
[13, 14, 6, 15, 11, 1, 10, 8, 4, 7, 5, 2, 3, 9, 0, 12];1.77575e-06;good
[1, 5, 0, 4, 7, 13, 14, 8, 6, 11, 15, 12, 3, 9, 2, 10];1.304795e-05;bad
[4, 10, 5, 8, 15, 0, 7, 6, 13, 12, 1, 9, 3, 2, 11, 14];1.304795e-05;bad
[2, 5, 0, 9, 4, 3, 6, 14, 10, 7, 8, 15, 13, 12, 11, 1];1.304795e-05;bad
[12, 2, 4, 11, 0, 3, 14, 7, 1, 13, 6, 15, 9, 5, 10, 8];1.84175e-06;good
[5, 8, 13, 14, 6, 2, 3, 7, 9, 1, 0, 15, 11, 10, 4, 12];1.304795e-05;bad
[12, 11, 6, 3, 10, 13, 5, 1, 2, 8, 4, 0, 14, 9, 7, 15];1.304795e-05;bad
[12, 10, 13, 4, 14, 11, 15, 1, 5, 9, 7, 6, 3, 8, 2, 0];1.8828e-06;good
[4, 8, 14, 12, 9, 0, 2, 3, 11, 7, 1, 5, 10, 6, 15, 13];1.304795e-05;bad
[15, 1, 8, 12, 3, 13, 4, 7, 0, 5, 6, 10, 11, 14, 9, 2];1.304795e-05;bad
[5, 15, 13, 6, 12, 1, 11, 2, 9, 7, 3, 10, 0, 4, 14, 8];1.304795e-05;bad
[0, 1, 3, 5, 12, 8, 15, 9, 2, 11, 14, 4, 13, 7, 10, 6];1.866975e-06;good
[9, 15, 11, 14, 10, 1, 4, 13, 6, 3, 0, 7, 12, 5, 8, 2];1.304795e-05;bad
[3, 7, 12, 15, 6, 2, 8, 4, 14, 5, 1, 11, 10, 13, 0, 9];1.304795e-05;bad
[15, 13, 9, 14, 11, 12, 8, 0, 4, 1, 2, 10, 7, 6, 3, 5];1.304795e-05;bad
[15, 3, 10, 6, 8, 14, 2, 1, 0, 9, 4, 11, 13, 7, 5, 12];1.862975e-06;good
[15, 5, 14, 7, 12, 8, 10, 1, 2, 6, 11, 13, 0, 4, 9, 3];1.304795e-05;bad
[1, 5, 7, 4, 11, 12, 0, 15, 9, 6, 8, 13, 14, 3, 10, 2];1.304795e-05;bad
[5, 12, 13, 2, 6, 15, 8, 9, 0, 4, 7, 3, 10, 14, 11, 1];1.304795e-05;bad
[2, 5, 0, 6, 8, 9, 4, 10, 3, 13, 11, 12, 15, 7, 14, 1];1.828e-06;good
[6, 4, 11, 8, 1, 7, 5, 12, 0, 3, 14, 15, 13, 2, 9, 10];1.304795e-05;bad
[8, 7, 11, 9, 3, 5, 13, 0, 6, 2, 15, 14, 4, 12, 1, 10];1.304795e-05;bad
[3, 1, 6, 7, 12, 15, 8, 4, 9, 5, 13, 14, 10, 2, 0, 11];1.304795e-05;bad
[2, 9, 11, 13, 8, 10, 14, 3, 7, 12, 1, 5, 6, 0, 4, 15];1.304795e-05;bad
[7, 0, 9, 10, 6, 2, 8, 3, 5, 12, 4, 14, 13, 1, 11, 15];1.874275e-06;good
[0, 4, 8, 14, 5, 10, 11, 12, 2, 9, 6, 15, 1, 7, 3, 13];1.304795e-05;bad
[15, 11, 3, 4, 1, 8, 7, 5, 14, 10, 13, 6, 9, 0, 2, 12];1.304795e-05;bad
[5, 1, 2, 13, 7, 6, 4, 3, 12, 14, 11, 15, 9, 0, 8, 10];1.304795e-05;bad
[14, 15, 10, 7, 6, 9, 4, 2, 11, 12, 1, 3, 0, 8, 5, 13];1.826975e-06;good
[9, 13, 6, 10, 5, 1, 11, 12, 7, 4, 3, 8, 14, 15, 2, 0];1.304795e-05;bad
[15, 11, 10, 5, 14, 12, 0, 1, 3, 8, 9, 2, 6, 13, 4, 7];1.304795e-05;bad
[5, 10, 11, 9, 15, 4, 13, 6, 8, 2, 14, 0, 12, 3, 1, 7];1.304795e-05;bad
[11, 1, 9, 0, 12, 4, 3, 14, 5, 2, 10, 8, 6, 7, 15, 13];1.758975e-06;good
[3, 13, 0, 12, 10, 11, 6, 1, 8, 15, 4, 7, 9, 2, 5, 14];1.304795e-05;bad
[11, 12, 5, 10, 15, 9, 3, 8, 7, 14, 6, 1, 0, 2, 13, 4];1.304795e-05;bad
[3, 7, 9, 15, 0, 8, 12, 4, 13, 5, 11, 14, 1, 10, 6, 2];1.7796e-06;good
[9, 15, 11, 6, 1, 10, 12, 8, 2, 5, 4, 14, 7, 0, 13, 3];1.304795e-05;bad
[7, 3, 8, 9, 4, 14, 13, 15, 2, 10, 12, 1, 11, 5, 6, 0];1.304795e-05;bad
[6, 5, 3, 14, 10, 12, 13, 7, 0, 4, 8, 2, 11, 1, 9, 15];1.304795e-05;bad
[11, 5, 1, 13, 10, 15, 2, 9, 7, 8, 6, 3, 12, 4, 14, 0];1.80325e-06;good
[10, 1, 4, 8, 11, 5, 7, 9, 13, 12, 0, 15, 6, 3, 14, 2];1.304795e-05;bad
[3, 14, 6, 2, 4, 9, 7, 0, 10, 8, 11, 12, 5, 15, 1, 13];1.304795e-05;bad
[8, 0, 12, 9, 7, 13, 3, 15, 4, 6, 2, 10, 14, 11, 1, 5];1.304795e-05;bad
[15, 14, 7, 12, 0, 3, 4, 5, 2, 8, 13, 10, 11, 9, 6, 1];1.304795e-05;bad
[2, 4, 6, 15, 8, 11, 12, 1, 9, 14, 13, 10, 3, 5, 7, 0];1.763e-06;good
[15, 1, 7, 9, 8, 10, 14, 13, 6, 2, 12, 5, 4, 11, 0, 3];1.304795e-05;bad
[8, 5, 15, 7, 4, 0, 14, 1, 11, 2, 10, 9, 12, 13, 3, 6];1.304795e-05;bad
[15, 14, 9, 6, 1, 11, 0, 10, 4, 13, 2, 12, 8, 7, 5, 3];1.7832e-06;good
[6, 12, 0, 2, 3, 13, 1, 4, 11, 7, 9, 14, 10, 15, 8, 5];1.304795e-05;bad
[13, 8, 12, 1, 11, 4, 3, 14, 9, 10, 0, 7, 2, 6, 15, 5];1.304795e-05;bad
[6, 10, 2, 3, 15, 7, 9, 0, 8, 5, 1, 14, 13, 11, 4, 12];1.304795e-05;bad
[4, 15, 12, 6, 13, 9, 11, 8, 7, 2, 1, 5, 3, 14, 0, 10];1.8889e-06;good
[11, 0, 7, 9, 5, 12, 6, 14, 10, 4, 8, 13, 3, 2, 1, 15];1.304795e-05;bad
[9, 14, 7, 12, 10, 6, 15, 1, 2, 0, 5, 13, 4, 11, 8, 3];1.304795e-05;bad
[12, 13, 9, 6, 2, 4, 8, 7, 5, 14, 0, 15, 10, 3, 1, 11];1.304795e-05;bad
[1, 4, 15, 11, 14, 5, 13, 2, 10, 12, 8, 7, 0, 6, 3, 9];1.304795e-05;bad
[7, 14, 8, 12, 0, 4, 2, 13, 6, 3, 9, 1, 11, 10, 5, 15];1.799425e-06;good
[1, 13, 7, 5, 0, 14, 10, 8, 4, 6, 2, 12, 9, 11, 3, 15];1.304795e-05;bad
[10, 2, 0, 14, 11, 13, 6, 8, 12, 7, 4, 5, 3, 9, 15, 1];1.304795e-05;bad
[10, 9, 7, 6, 3, 2, 14, 12, 5, 0, 15, 1, 11, 4, 8, 13];1.304795e-05;bad
[6, 11, 5, 10, 7, 12, 15, 14, 2, 9, 13, 3, 1, 8, 0, 4];1.835975e-06;good
[8, 1, 10, 0, 5, 7, 9, 11, 13, 14, 15, 4, 2, 3, 12, 6];1.304795e-05;bad
[4, 2, 7, 9, 1, 6, 10, 5, 14, 3, 15, 0, 13, 8, 11, 12];1.304795e-05;bad
[12, 2, 4, 7, 0, 11, 14, 6, 1, 10, 3, 15, 5, 13, 9, 8];1.304795e-05;bad
[5, 0, 2, 11, 14, 7, 15, 10, 12, 9, 6, 4, 13, 1, 8, 3];1.83065e-06;good
[12, 3, 13, 9, 6, 10, 2, 11, 7, 8, 5, 14, 0, 4, 1, 15];1.304795e-05;bad
[4, 6, 10, 8, 5, 3, 0, 2, 12, 14, 11, 1, 7, 13, 9, 15];1.304795e-05;bad
[6, 8, 2, 7, 12, 10, 0, 3, 4, 1, 5, 11, 15, 9, 13, 14];1.304795e-05;bad
[0, 10, 9, 2, 3, 7, 15, 5, 4, 6, 14, 13, 11, 1, 8, 12];1.8588e-06;good
[1, 6, 7, 13, 0, 3, 5, 15, 14, 12, 2, 11, 8, 10, 4, 9];1.304795e-05;bad
[12, 15, 6, 3, 8, 4, 7, 0, 1, 5, 14, 2, 11, 9, 10, 13];1.304795e-05;bad
[9, 10, 2, 3, 14, 5, 13, 7, 15, 12, 6, 1, 0, 11, 4, 8];1.304795e-05;bad
[1, 13, 15, 14, 0, 9, 11, 5, 6, 10, 8, 2, 3, 12, 7, 4];1.8724e-06;good
[8, 13, 2, 7, 3, 5, 4, 6, 11, 9, 14, 12, 15, 10, 0, 1];1.304795e-05;bad
[8, 13, 3, 14, 5, 11, 15, 9, 0, 10, 6, 7, 12, 2, 1, 4];1.304795e-05;bad
[12, 13, 6, 4, 5, 2, 3, 8, 14, 0, 9, 7, 10, 1, 15, 11];1.304795e-05;bad
[8, 7, 6, 13, 4, 15, 14, 0, 1, 11, 3, 5, 9, 12, 10, 2];1.863e-06;good
[9, 2, 8, 1, 7, 10, 11, 4, 3, 0, 13, 6, 15, 5, 14, 12];1.304795e-05;bad
[15, 3, 11, 13, 10, 5, 0, 2, 8, 7, 14, 12, 1, 6, 9, 4];1.304795e-05;bad
[14, 10, 5, 2, 12, 1, 7, 4, 9, 13, 8, 15, 6, 0, 3, 11];1.304795e-05;bad
[4, 8, 6, 3, 1, 14, 2, 5, 13, 0, 11, 15, 9, 12, 10, 7];1.857975e-06;good
[12, 11, 15, 4, 14, 10, 13, 9, 2, 7, 3, 6, 0, 5, 1, 8];1.304795e-05;bad
[3, 9, 7, 6, 0, 14, 10, 1, 8, 11, 12, 4, 13, 15, 2, 5];1.304795e-05;bad
[2, 9, 8, 1, 4, 6, 3, 10, 0, 12, 11, 15, 13, 14, 7, 5];1.304795e-05;bad
[1, 4, 3, 6, 7, 10, 12, 5, 11, 9, 14, 8, 2, 0, 15, 13];1.95125e-06;good
[8, 10, 12, 13, 2, 11, 14, 0, 6, 4, 9, 15, 7, 1, 3, 5];1.304795e-05;bad
[5, 8, 2, 1, 14, 11, 9, 12, 4, 15, 3, 10, 6, 13, 0, 7];1.304795e-05;bad
[9, 6, 0, 12, 13, 7, 10, 3, 8, 5, 4, 2, 15, 11, 1, 14];1.304795e-05;bad
[13, 14, 12, 4, 2, 6, 9, 3, 0, 1, 15, 5, 10, 8, 7, 11];1.304795e-05;bad
[7, 8, 11, 10, 2, 9, 13, 5, 6, 12, 15, 0, 3, 14, 4, 1];1.841275e-06;good
[2, 7, 5, 1, 11, 15, 10, 0, 6, 12, 8, 13, 9, 4, 14, 3];1.304795e-05;bad
[14, 4, 2, 7, 0, 5, 11, 15, 13, 1, 6, 9, 12, 8, 10, 3];1.304795e-05;bad
[15, 12, 13, 4, 1, 8, 11, 3, 7, 5, 0, 10, 6, 2, 9, 14];1.304795e-05;bad
[13, 11, 8, 5, 15, 1, 12, 14, 2, 3, 4, 6, 0, 9, 7, 10];1.82195e-06;good
[5, 15, 3, 8, 14, 6, 0, 13, 12, 7, 2, 10, 11, 4, 9, 1];1.304795e-05;bad
[3, 14, 2, 7, 15, 0, 4, 6, 10, 1, 13, 9, 11, 8, 12, 5];1.304795e-05;bad
[2, 3, 13, 14, 11, 6, 10, 1, 12, 4, 9, 8, 0, 7, 5, 15];1.304795e-05;bad
[2, 4, 15, 6, 11, 10, 9, 7, 0, 5, 14, 13, 1, 3, 12, 8];1.818075e-06;good
[13, 0, 2, 4, 9, 3, 11, 8, 14, 7, 1, 12, 10, 5, 6, 15];1.304795e-05;bad
[10, 3, 14, 12, 7, 8, 2, 9, 1, 13, 4, 11, 15, 6, 0, 5];1.304795e-05;bad
[11, 14, 9, 5, 0, 12, 1, 8, 10, 2, 3, 4, 13, 6, 15, 7];1.304795e-05;bad
[3, 8, 13, 2, 4, 1, 6, 5, 12, 0, 10, 7, 15, 14, 9, 11];1.812875e-06;good
